datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2025-03-13,42,34.1,39,37,28.2,34.3,28.7,66.9,0,2,0,,0,0,17.2,12.6,98.9,1020.9,85.7,10,420,36.4,7,10,2025-03-13T06:59:03,2025-03-13T18:48:51,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
2025-03-14,47,40,43,44.2,35.2,39.8,34.5,71.9,0,4,0,,0,0,12.8,6.9,80.8,1022.3,63.4,10.1,199.7,17.3,6,10,2025-03-14T06:57:20,2025-03-14T18:50:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-15,54.9,42,47.6,54.9,40.2,46.7,40.4,76.3,0.008,21,4.17,rain,0,0,17.2,10.3,182.3,1017.6,80.8,9.7,206.8,18,5,10,2025-03-15T06:55:37,2025-03-15T18:51:11,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-16,63.8,50.8,58.4,63.8,50.8,58.4,50.8,76,0.047,79,12.5,rain,0,0,37.1,18.8,189.8,1012.9,92.3,10.7,52.5,4.6,2,10,2025-03-16T06:53:53,2025-03-16T18:52:21,0.58,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
2025-03-17,59.6,45,54.7,59.6,40.6,54,45.9,72.8,0.221,91,20.83,rain,0,0,32.9,16.3,235.8,1009,85.1,11.7,30.4,2.6,1,10,2025-03-17T06:52:10,2025-03-17T18:53:30,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
2025-03-18,52.8,39.5,45.6,52.8,33.9,42.1,27.5,49.7,0.012,45,4.17,rain,0,0,17.9,9.2,273.8,1016.6,27,15,250.3,21.7,6,10,2025-03-18T06:50:26,2025-03-18T18:54:39,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-19,59.8,43.4,50.6,59.8,39.7,48.9,33.7,52.9,0,5,0,,0,0,19.5,11,208.6,1008.5,44.5,15,216.5,18.3,5,10,2025-03-19T06:48:42,2025-03-19T18:55:48,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-20,56.9,46.1,50.7,56.9,41.3,48.8,38.1,62.5,0.024,27,8.33,rain,0,0,25.9,13.9,208,1012.4,66,13.5,31,2.6,1,10,2025-03-20T06:46:58,2025-03-20T18:56:57,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-21,52.2,33.5,41.3,52.2,29.4,37.7,24.9,56.8,0.012,25.8,4.17,rain,0,0,21.5,11.9,304.4,1018.4,32.2,15,236.3,20.4,8,10,2025-03-21T06:45:13,2025-03-21T18:58:05,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-22,55.7,38.6,46.4,55.7,35,43.7,31.6,56.8,0,16.1,0,,0,0,30.9,14.8,204.4,1019.5,94.7,15,173.9,15,6,10,2025-03-22T06:43:29,2025-03-22T18:59:14,0.75,Overcast,Cloudy skies throughout the day.,cloudy,
2025-03-23,57.5,43.4,48.3,57.5,40.7,46.2,36.4,66.4,0,25.8,0,,0,0,21,8.9,270.4,1022.2,71.1,14.6,222.3,19.1,8,10,2025-03-23T06:41:45,2025-03-23T19:00:22,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-24,60,40.4,48.8,60,38.2,46.9,35.5,62.6,0.276,16.1,4.17,rain,0,0,31.1,11.6,181.5,1028.3,66.8,15,233.4,20.1,8,10,2025-03-24T06:40:00,2025-03-24T19:01:31,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-25,67.6,44.3,55.1,67.6,39.7,53.5,46.5,74.2,0.039,25.8,4.17,rain,0,0,40,14.5,198,1021.1,99.8,15,213.4,18.5,8,10,2025-03-25T06:38:16,2025-03-25T19:02:39,0.88,Overcast,Cloudy skies throughout the day.,cloudy,
2025-03-26,58.9,47.2,54.4,58.9,43.9,54.1,39.8,60.5,0,29,0,,0,0,37.4,13,302.8,1018.8,75.7,14.3,230.6,19.8,8,10,2025-03-26T06:36:32,2025-03-26T19:03:47,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2025-03-27,48.1,35.3,41.9,44.4,31.8,37.3,19.8,42,0.004,35.5,4.17,rain,0,0,15.9,9.4,49.4,1028.7,45.9,15,234,20,8,10,2025-03-27T06:34:48,2025-03-27T19:04:55,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
